tag,Card,Offer,Valid Till,Quotas,Valid On,Other Conditions,link
bms,"ICICI Bank Credit Card","Get 25% discount","31-Mar-2025 23:59","Limited","Web & App","Minimum 2 tickets need to be brought in order to avail the offer Offer applicable only on select ICICI Bank Credit Cards Successful booking is on first come first serve basis and is subject to daily stock availability Offer is valid till 31st March 2025 This offer is applicable on movies only","https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520"
bms,"IndusInd Bank Indulge/Crest/Celesta/Heritage (Non-Metal), Legacy, Vistara Explorer Co-Branded,Pinnacle Credit Card","Buy 1 Get 1 movie ticket free upto INR 700 + INR 50 off on Food Combos + 20% off up to INR 350 on Event and Theatre bookings","31-Mar-2025 23:59","Limited","Web & App","Food combos has to be purchased in the same transaction to avail the INR 50 off on F&B Offer available on a minimum purchase of 2 tickets Offer on movie & food combos can be availed thrice in a month Offer on Events and theatre bookings is capped to 2 discounted transactions in a month.","https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424"
bms,"Visa Signature Cards & select Visa Rewards Credit Cards","Get 50% discount up to Rs 300 on movies","31-Dec-2024 23:59","Limited","Web & App","Offer valid on minimum booking of two movie tickets Offer is valid on both credit & debit Visa Signature Cards & select Visa Rewards Cards","https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224"
bms,"HSBC Credit Cards","Buy 1 ticket and get 1 free on movies","30-Sep-2024 23:59","Available for first 2000 customers","Mobile App only","Offer valid on BookMyShow mobile app only Offer can be availed only on Saturday for shows on any day of the week Offer will be available for quota of first 2,000 customers every Saturday booking. Offer valid till 30th September 2024","https://in.bookmyshow.com/offers/hsbc-saturday-offer/HSBCCC0324"
bms,"ICICI Bank Credit Card","Get Complimentary Tickets","31-Mar-2025 23:59","Limited","Web & App","Minimum 2 tickets need to be brought in order to avail the offer Offer only on selected ICICI Bank Credit Cards Offer is valid till 31st March, 2025 This offer is applicable on both movies and events","https://in.bookmyshow.com/offers/icici-bank-complimentary-offer/ICICCOM724"
bms,"AU Zenith Credit Card","Get 50% Off upto INR 250","30-Sep-2024 23:59","NA","Web & App","Minimum 2 tickets need to be booked to avail the offer Offer is valid on all days of the week Offer can be availed only once in a calendar month per card user Offer is valid only on Movies Offer valid till 30th September 2024","https://in.bookmyshow.com/offers/au-zenith-credit-card-offer/AUCC1221"
bms,"AU Zenith+ Credit Card","Buy One ticket and Get One Free upto INR 500","30-Nov-2024 23:59","NA","Web & App","Customer can avail maximum 4 free tickets for movies/non movies tickets in a quarter Maximum discount per ticket is capped at INR 500 Customers can avail free Movie or Non-Movie tickets in a single transaction or multiple transactions. Minimum 2 tickets need to be booked in order to avail the offer. Offer valid on all days of the week Offer is valid on Movies, Events, Concerts, Plays, Sports and Activities. Excluding BMS Stream and F&B Offer valid till 30th Nov 2024","https://in.bookmyshow.com/offers/au-zenith+-credit-card-offer/AUCC0923"
bms,"Axis Bank Burgundy Private and Axis Reserve Credit Cards","Buy One ticket & Get One Free","31-Mar-2025 23:59","No Quotas","Web & App","Each customer can avail maximum 5 free tickets for movies & 5 free tickets for non movies tickets in a month Each customer can get a maximum discount of INR 500 or the discount amount whichever is less for movies per ticket and INR 1000 or the discount amount whichever is less for non-movies per ticket, for each free ticket that is availed under this offer","https://in.bookmyshow.com/offers/axis-burgundy-private-and-reserve-credit-card-offer/AXSCC0324"
bms,"Union Bank of India Divaa RuPay Credit Card","flat INR250 discount.","31-Mar-2025 23:59","No Quota","Web & App","Offer can be availed once per quarter per card on Movies/Non-movies. Minimum 2 tickets need to be booked to avail the offer. Offer valid on all days of the week.","https://in.bookmyshow.com/offers/union-bank-of-india-divaa-rupay-credit-card-offer/RUPAYUN232"
bms,"Bank of Maharashtra Credit Card","Buy One ticket and Get One Free upto INR 200/-","28-Feb-2025 11:59","Limited Quota","Web & App","Minimum 2 tickets needs to be booked to avail the offer. Offer can be availed once in a calendar month per card on Movies/Non-movies as per the eligibility. Offer valid on all days of the week Offer is valid on Movies, Events, Concerts, Plays, Sports and Activities. Excluding BMS Stream and F&B","https://in.bookmyshow.com/offers/bank-of-maharashtra-credit-card-offer/BOMH0124"
