"tag","Card","Offer","Valid Till","Other Conditions","link"
"cleartrip","American Express Credit Card","Domestic Flights Discount Flat 15% off + 3 & 6 months NCEMI","27th Jun 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code AMEXEMI before making the payment with your American Express Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable To avail of No Cost EMI on the payment step, select 'EMI' & enable the 'Show Banks with No-Cost EMI' toggle. Select the EMI tenure and complete the payment with your American Express Credit Card. Valid for transactions made between 10 Apr'24 to 27 June '24. Dates of Travel are completely open. The offer is valid once per card & once per product per week during the offer period.","https://offers.cleartrip.com/amex-cc-emi-flights-offer/"
"cleartrip","Punjab National Bank Credit Card","Domestic Flights Discount 15%, Max Discount on Credit Cards: Rs. 2,000, Min Booking Value: Rs. 3,500; International Flights Discount 10%, Max Discount on Credit Cards: Rs. 10,000, Min Booking Value: Rs. 10,000","31st Dec","Visit www.cleartrip.com or download the Cleartrip Mobile App available for iOS on the App Store & for Android on Google Play Store. Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code PNBCC before making the payment with your Punjab National Bank Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. Valid for transactions made between 17 Oct 2023 (12 AM) till 31 Dec 2023 (11:59 PM). Dates of travel are completely open","https://offers.cleartrip.com/pnb-credit-cards-flights-offer/"
"cleartrip","IDBI Bank Credit Card","Domestic Flights Discount: 15%, Max Discount on Credit Cards: Rs. 2,000","30th Nov 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App available for iOS on App Store & for Android on Google Play Store. Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code IDBICC before making the payment with your IDBI Bank Credit Card. The applicable discount amount as per the above table will be instantly deducted from the total amount payable. Valid for transactions made between 5th Sept 2023 (12 AM) to 30th Nov 2023 (11:49 PM). Dates of travel are completely open. The offer is valid once per card every month.","https://offers.cleartrip.com/idbi-credit-cards-flights-offer/"
"cleartrip","AU Bank Credit Card","Domestic Flights Offer Flat 12% off ,Max. discount on AU Credit Cards: ₹1,250, Min. booking value: ₹4,000","27th Sep 2024","Visit www.cleartrip.com or download the Cleartrip Mobile App Book any Domestic/ International One-way or Roundtrip Flight of your choice. Simply enter coupon code AUCC before making the payment with your AU Credit Cards The applicable discount amount as per the above table will be instantly deducted from the total amount payable Valid for transactions made from 05 July'24 (12 AM) to 27 Sep'24 (11:59 PM). Dates of Travel are completely open. The offer is valid once per card & once per product during the offer period. The offer is applicable to select credit cards.","https://offers.cleartrip.com/au-bank-cards-offer-ct/"
"ixigo","HDFC Bank EasyEMI Credit Card","Get up to ₹2000 Off on Domestic Flights with HDFC Bank EasyEMI on Credit Cards","30 Sep 2024","['This offer is applicable once per user per category during the offer period.']","https://www.ixigo.com/offers/hdfc-easyemi"
"ixigo","AU Bank Credit Card","Get Flat 10% Off on Flights via ixigo AU Credit Card","31 Dec 2025","['N/A']","https://www.ixigo.com/offers/ixigoccfly"
"easemytrip","Amazon Pay ICICI Bank Credit Card","Domestic Flight Discount Rs. 500 per pax (Up to Rs. 3,000), Min Booking Value: Rs 10,000; International Flight Discount 10% up to Rs 5,000 ,Min Booking Value: Rs 20,000","30th Sept'24","['Customers under thisoffer will get to enjoy attractive discounts on Flights, Hotels, and Bus bookings with EaseMyTrip.com usingAmazon Pay ICICI Bank Credit Cards']","https://www.easemytrip.com/offers/icici-bank.html"
"easemytrip","Kotak Mahindra Bank Credit Card","Domestic Flight Flat 10% off Up to INR 1,500, Min Booking Value: INR 5000","30th Sept, 2024","['Customers under this offer willenjoy No Cost EMI on Flights & Hotel Bookings by making payments viaKotak Mahindra Bank Credit Cardwith EaseMyTrip']","https://www.easemytrip.com/offers/kotak-bank.html"
"easemytrip","Yes Bank Credit Card","Domestic Flight Flat 12% off Up to INR 2,024, Min Booking Value: INR 3,500","30th Sept, 2024","['Customers under this offer will enjoy:']","https://www.easemytrip.com/offers/yes-bank-credit-card.html"
"easemytrip","Canara Bank Credit Card","Domestic Flight Discount 15% up to INR 1,500, Min Booking Value: INR 3,500","30th Sept, 2024","['Customers under this offer willget to enjoy exciting discounts on flight, hotel & bus bookings on EaseMyTrip by using Canara Bank Credit Card.']","https://www.easemytrip.com/offers/canara-bank-card.html"
"easemytrip","ICICI Credit Card","Domestic Flights 12% discount up to Rs. 2,024, Min Booking Value': Rs 10,000","30th Sept, 2024","['Customers under this offer will get toenjoy exciting discounts on flight, hotel & bus bookings using ICICI Credit Cardwith EaseMyTrip.']","https://www.easemytrip.com/offers/icici-bank-credit-card.html"
"easemytrip","PNB EMT Credit Card","International Flights 10% Up to INR 5,000","31st Dec, 2024","['Jet. Set. Travel.\xa0 Avail exclusive discounts on flights, hotels and bus bookings for your trip with PNB EMT Credit Card', 'Apply Now']","https://www.easemytrip.com/offers/pnb-emt-co-branded-credit-card.html"
"easemytrip","AU Bank Credit Card","Domestic Flights Discount% 12% Off up to INR 1,250, Min Booking Value': INR 4,000","30th Sept, 2024","['Customers under this offer will enjoy attractive discounts on flight, hotels and bus bookings:']","https://www.easemytrip.com/offers/au-bank-credit-card.html"
"easemytrip","IDBI Signature Credit Card","Domestic Flight Discount Flat12% Up to INR 2,024","30th Sep, 2024","['Customers under this offer willget attractive discounts on Flight, Hotel and Bus bookings using IDBI Credit or Debit (Platinum/Signature) Cardwith EaseMyTrip.']","https://www.easemytrip.com/offers/idbi-bank.html"
